Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61681786,"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,"Asher, Lauren",,"=""172827222X""","=""9781728272221""",3,4.28,Bloom Books,Paperback,583,2023,2023,,2023/09/16,,,read,,,,1,0
123008168,My Dark Romeo,Parker S. Huntington,"Huntington, Parker S.",L.J. Shen,"=""1950209075""","=""9781950209071""",1,3.88,PSH Publishing,Paperback,366,2023,,,2023/07/17,,,read,,,,1,0
61718053,Happy Place,Emily Henry,"Henry, Emily",,"=""0593441273""","=""9780593441275""",4,4.10,Berkley,Hardcover,400,2023,2023,,2023/06/16,,,read,,,,1,0
54981009,The Last Thing He Told Me,Laura Dave,"Dave, Laura",,"=""""","=""""",4,3.85,Simon & Schuster,Hardcover,320,2021,2021,,2021/07/12,,,read,,,,1,0
71641873,"Until You (The Redemption, #1)",K. Bromberg,"Bromberg, K.",,"=""""","=""9781942832607""",0,4.20,"JKB Publishing, LLC",Kindle Edition,340,2023,,,2023/08/30,to-read,to-read (#194),to-read,,,,0,0
50628479,Out of Love,Jewel E. Ann,"Ann, Jewel E.",,"=""""","=""""",0,4.28,,Kindle Edition,354,2020,2020,,2023/08/30,to-read,to-read (#193),to-read,,,,0,0
36489310,"Show Me the Way (Fight for Me, #1)",A.L. Jackson,"Jackson, A.L.",,"=""1946420042""","=""9781946420046""",0,4.09,A.L. Jackson Books,Paperback,356,2017,2017,,2023/08/30,to-read,to-read (#192),to-read,,,,0,0
61771675,Hello Beautiful,Ann Napolitano,"Napolitano, Ann",,"=""""","=""""",0,4.23,The Dial Press,Kindle Edition,416,2023,2023,,2023/08/30,to-read,to-read (#191),to-read,,,,0,0
62603994,When Gracie Met the Grump,Mariana Zapata,"Zapata, Mariana",,"=""1953262023""","=""9781953262028""",1,4.09,Mariana Zapata,Paperback,570,2022,2022,,2022/11/14,,,read,,,,1,0
61434791,"Twisted (Never After, #4)",Emily McIntire,"McIntire, Emily",,"=""""","=""""",3,3.94,,Kindle Edition,366,2023,2023,,2023/08/05,,,read,,,,1,0
61102577,Strangers in the Night,Heather  Webb,"Webb, Heather",,"=""0063004186""","=""9780063004184""",0,3.90,William Morrow Paperbacks,Paperback,432,2023,2023,,2023/08/30,to-read,to-read (#190),to-read,,,,0,0
49244342,The Orphan Collector,Ellen Marie Wiseman,"Wiseman, Ellen Marie",,"=""1496715861""","=""9781496715869""",0,4.24,Kensington Publishing Corp.,Paperback,390,2020,2020,,2023/08/30,to-read,to-read (#189),to-read,,,,0,0
29864343,"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,"Kwan, Kevin",,"=""0385542232""","=""9780385542234""",0,3.95,Doubleday,Hardcover,398,2017,2017,,2023/08/30,to-read,to-read (#188),to-read,,,,0,0
60285652,"Hello, Sunshine",Laura Dave,"Dave, Laura",,"=""1476789347""","=""9781476789347""",0,3.46,Simon  Schuster,ebook,256,2022,2017,,2023/08/30,to-read,to-read (#187),to-read,,,,0,0
58014893,Every Summer After,Carley Fortune,"Fortune, Carley",,"=""0593438531""","=""9780593438534""",0,4.24,Berkley,Paperback,320,2022,2022,,2023/08/27,to-read,to-read (#186),to-read,,,,0,0
23309634,Before We Were Strangers,Renee Carlino,"Carlino, Renee",,"=""1501105779""","=""9781501105777""",0,4.13,Atria,Paperback,320,2015,2015,,2023/08/27,to-read,to-read (#185),to-read,,,,0,0
61326735,"Love, Theoretically",Ali Hazelwood,"Hazelwood, Ali",,"=""1408725797""","=""9781408725795""",5,4.20,Little Brown Books,Paperback,389,2023,2023,,2023/08/20,,,read,,,,1,0
48677178,By a Thread,Lucy Score,"Score, Lucy",,"=""""","=""""",3,4.12,That's What She Said Publishing,Kindle Edition,584,2020,2020,,2023/07/25,,,read,,,,1,0
8745,Desert Flower,Waris Dirie,"Dirie, Waris",Cathleen Miller,"=""0688172377""","=""9780688172374""",0,4.20,William Morrow Paperbacks,Paperback,256,2011,1998,,2023/08/16,to-read,to-read (#184),to-read,,,,0,0
22669832,"Bright Side (Bright Side, #1)",Kim Holden,"Holden, Kim",,"=""""","=""9780991140220""",5,4.31,Do Epic LLC,Paperback,423,2014,2014,,2023/06/23,,,read,,,,1,0
58065372,In Love: A Memoir of Love and Loss,Amy Bloom,"Bloom, Amy",,"=""0593243943""","=""9780593243947""",0,4.27,Random House,Hardcover,240,2022,2022,,2023/07/15,to-read,to-read (#183),to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,3.84,Vintage Books ,Paperback,288,2010,2005,,2023/07/15,to-read,to-read (#182),to-read,,,,0,0
18948703,"Here with Me (The Archer Brothers, #1)",Heidi McLaughlin,"McLaughlin, Heidi",,"=""""","=""""",0,4.20,,Kindle Edition,226,2014,2014,,2023/06/23,to-read,to-read (#181),to-read,,,,0,0
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",0,4.08,Penguin Press,Hardcover,338,2017,2017,,2023/06/16,to-read,to-read (#180),to-read,,,,0,0
75579822,"Crimson River (The Edens, #5)",Devney Perry,"Perry, Devney",,"=""1957376325""","=""9781957376325""",0,4.21,Devney Perry LLC,Kindle Edition,305,2023,2023,,2023/06/16,to-read,to-read (#179),to-read,,,,0,0
60568471,"Before I Let Go (Skyland, #1)",Kennedy Ryan,"Ryan, Kennedy",,"=""1538706792""","=""9781538706794""",0,4.38,Forever,Paperback,420,2022,2022,,2023/05/28,to-read,to-read (#178),to-read,,,,0,0
20935107,"Come Back to Me (Come Back to Me, #1)",Mila Gray,"Gray, Mila",,"=""""","=""""",0,4.20,Pan Macmillan,Paperback,373,2014,2014,,2023/05/27,to-read,to-read (#177),to-read,,,,0,0
84943172,"The Right Move (Windy City, #2)",Liz Tomforde,"Tomforde, Liz",,"=""""","=""""",3,4.47,Golden Boy Publishing LLC,Kindle Edition,417,2023,2023,,2023/05/07,,,read,,,,1,0
62296521,Only Love Can Hurt Like This,Paige Toon,"Toon, Paige",,"=""0593544331""","=""9780593544334""",0,4.06,G.P. Putnam's Sons,Paperback,400,2023,2023,,2023/05/07,to-read,to-read (#176),to-read,,,,0,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",4,4.47,Random House,Hardcover,352,2018,2018,,2022/07/29,,,read,,,,1,0
63095160,"The Temporary Wife (The Windsors, #2)",Catharina Maura,"Maura, Catharina",,"=""""","=""""",2,4.07,,Kindle Edition,384,2023,2023,,2023/02/05,dnf,dnf (#8),read,,,,1,0
40944965,"Binding 13 (Boys of Tommen, #1)",Chloe Walsh,"Walsh, Chloe",,"=""""","=""""",0,4.45,,Kindle Edition,887,2018,2018,,2023/04/02,to-read,to-read (#175),to-read,,,,0,0
63831009,The Brightest Light of Sunshine (The Brightest Light #1),Lisina Coney,"Coney, Lisina",,"=""""","=""""",0,3.89,,Kindle Edition,441,2023,,,2023/04/02,to-read,to-read (#174),to-read,,,,0,0
53137938,The Things We Leave Unfinished,Rebecca Yarros,"Yarros, Rebecca",,"=""1682815668""","=""9781682815663""",0,4.32,Entangled: Amara,Paperback,448,2021,2021,,2023/03/27,to-read,to-read (#173),to-read,,,,0,0
15835031,If He Had Been with Me,Laura Nowlin,"Nowlin, Laura",,"=""1402277822""","=""9781402277825""",0,3.88,Sourcebooks Fire,Paperback,336,2013,2013,,2023/03/27,to-read,to-read (#172),to-read,,,,0,0
55711688,The Other Black Girl,Zakiya Dalila Harris,"Harris, Zakiya Dalila",,"=""1982160136""","=""9781982160135""",0,3.38,Atria Books,Hardcover,357,2021,2021,,2023/03/25,to-read,to-read (#171),to-read,,,,0,0
58950845,"By the Book (Meant to Be, #2)",Jasmine Guillory,"Guillory, Jasmine",,"=""1368053386""","=""9781368053389""",0,3.73,Hyperion Avenue,Paperback,320,2022,2022,,2023/03/25,to-read,to-read (#170),to-read,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.05,Penguin Press,Hardcover,246,2019,2019,,2023/03/25,to-read,to-read (#169),to-read,,,,0,0
42434209,Torn (Dark Legacy Trilogy Book 2),Natasha Knight,"Knight, Natasha",,"=""""","=""""",3,3.90,,Kindle Edition,294,2018,2018,,2023/03/16,,,read,,,,2,0
42507486,Taken (Dark Legacy #1),Natasha Knight,"Knight, Natasha",,"=""""","=""""",3,3.84,,Kindle Edition,296,2018,2018,,2023/03/16,,,read,,,,2,0
50930057,Collateral,Natasha Knight,"Knight, Natasha",,"=""""","=""""",4,3.98,,Kindle Edition,244,2019,2019,,2023/03/15,,,read,,,,2,0
10959,Sophie's World,Jostein Gaarder,"Gaarder, Jostein",Paulette Møller,"=""1857993284""","=""9781857993288""",0,3.96,Phoenix,Paperback,403,1995,1991,,2023/03/01,to-read,to-read (#168),to-read,,,,0,0
62694941,The Deal Dilemma,Meagan Brandy,"Brandy, Meagan",,"=""""","=""""",0,4.08,,Kindle Edition,504,2022,2022,,2022/10/12,to-read,to-read (#125),to-read,,,,0,0
23341894,Every Last Word,Tamara Ireland Stone,"Stone, Tamara Ireland",,"=""1484705270""","=""9781484705278""",4,4.25,"Little, Brown Books for Young Readers",Hardcover,358,2015,2015,,2023/02/18,,,read,,,,1,0
21839603,"Ruthless People (Ruthless People, #1)",J.J. McAvoy,"McAvoy, J.J.",,"=""1612133193""","=""9781612133195""",1,3.92,The Writers Coffee Shop,Paperback,511,2014,2014,,2021/02/16,"to-read, dnf","to-read (#5), dnf (#7)",to-read,,,,0,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",0,4.23,Ballantine Books,Hardcover,384,2022,2022,,2023/02/18,to-read,to-read (#167),to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.81,Hogarth,Hardcover,273,2019,2018,,2023/02/18,to-read,to-read (#166),to-read,,,,0,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",0,4.44,Atria Books,Hardcover,389,2017,2017,,2023/02/18,to-read,to-read (#165),to-read,,,,0,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",0,4.61,St. Martin's Press,Hardcover,440,2015,2015,,2023/02/18,to-read,to-read (#164),to-read,,,,0,0
60307542,"His Pretty Little Burden (Kids of The District, #4)",Nicci Harris,"Harris, Nicci",,"=""1922492132""","=""9781922492135""",1,3.86,Inki Publishing,Kindle Edition,418,2022,,,2023/01/16,dnf,dnf (#6),read,,,,1,0
61405262,"Prickly Romance (Billionaire Dads, #5)",Nia Arthurs,"Arthurs, Nia",,"=""""","=""""",2,3.88,,Kindle Edition,449,2022,2022,,2023/01/31,dnf,dnf (#5),read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",4,4.18,Celadon Books,Hardcover,336,2019,2019,,2022/12/30,,,read,,,,1,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",0,4.20,Tor Books,Hardcover,448,2020,2020,,2023/02/05,to-read,to-read (#163),to-read,,,,0,0
75263226,Requited Unrequited Love,Mina Ramzy,"Ramzy, Mina",,"=""""","=""9798359611701""",0,3.41,Independently published,Paperback,422,2023,,,2023/02/02,to-read,to-read (#162),to-read,,,,0,0
17134589,"The Conspiracy of Us (The Conspiracy of Us, #1)",Maggie  Hall,"Hall, Maggie",,"=""0399166505""","=""9780399166501""",0,3.84,Putnam Juvenile,Hardcover,324,2015,2015,,2023/01/24,to-read,to-read (#161),to-read,,,,0,0
56949185,"War, Unfinished",Veronica Lancet,"Lancet, Veronica",,"=""""","=""""",0,4.22,,Kindle Edition,938,2022,,,2023/01/20,to-read,to-read (#160),to-read,,,,0,0
